name,source,product_company,product_overview,description,industry,upvotes,comments,launched,domain_age_days,fresh_domain,hn_points,location,github_username,github_url,website,product_url,linkedin,profile_url
Max Musing,producthunt,Basedash Suggestions,"Your AI data analyst, now with ideas of its own.",,Artificial Intelligence; Data & Analytics; Business Intelligence,153,24,2026-07-17,,,,"Toronto, Canada",MaxMusing,https://github.com/MaxMusing,https://www.basedash.com,https://www.producthunt.com/products/basedash,https://www.linkedin.com/company/basedash,https://www.producthunt.com/@maxmusing
Ning Hu,producthunt,ZooData,The data layer for AI agents,"ZooData turns any URL into agent-ready JSON, so AI agents can work with structured data instead of raw HTML or bloated markdown. Use ~75% fewer LLM tokens, pay only for the fields you use, and skip extra extraction credits.Beyond extraction, ZooData gives agents pre-analyzed e-commerce intelligence — competitor, market, traffic, and consumer insights — live for Amazon and TikTok. API, CLI, and MCP server included. Start with 1,000 free credits, no card required.",Developer Tools; Artificial Intelligence; E-Commerce,541,63,2026-07-18,38,Y,,,,,,https://www.producthunt.com/products/zoodata,,https://www.producthunt.com/@ninghu
Philip Kubinski,producthunt,Unabyss for Claude,Shared memory across all apps and LLMs. In Claude,"Claude doesn't know what happens in GPT. Neither one really knows who you are or what your company does. Now they can. Unabyss gives Claude memories from your other AI agents and everyday apps: email, Drive, GitHub, Notion, meeting recorders, and 20+ more. It saves new memories too, so GPT and Cursor stay in sync with the exact same context - sharper than wiring each tool into Claude one by one. Finally, a real memory that follows you. Private. Portable.",Productivity; Artificial Intelligence,589,122,2026-07-17,132,Y,,,,,,https://www.producthunt.com/products/unabyss,,https://www.producthunt.com/@philip_kubinski
Stanislav Kirdey,producthunt,Clark,An AI coworker with its own cloud computer,"Clark is an AI coworker with its own cloud computer - browser, terminal, files, and code. Hand it a real task, close the tab, and come back to finished work: wide, sourced research; websites; spreadsheets; decks; audits; or tested code. It can fan work out to parallel specialists, run on a schedule, and return artifacts with the evidence behind them. Use Clark on web or mobile, work in real repositories with Clark Code, or embed the agent through an OpenAI-compatible API.",Productivity; Developer Tools; Artificial Intelligence,437,52,2026-07-18,136,Y,353,,,,https://clarkchat.com,https://www.producthunt.com/products/clark-agent,https://www.linkedin.com/company/clark-labs-inc,https://www.producthunt.com/@stanislav_kirdey
Paul Murnane,producthunt,DocuSmart AI,Turning fragmented knowledge into one simple system,"DocuSmart AI lets you search all your internal documents using plain English — across Google Drive, SharePoint, Dropbox and more — from one place. No migration, no reorganising, no training required. Just ask a question and get the answer. Built for nonprofits and SMEs who are drowning in documents spread across too many systems. We're looking for early adopters, if document chaos costs your team time, we'd love to hear from you.",Artificial Intelligence; Business Intelligence; YC Application,117,8,2026-07-18,,,,,paulmurnane,https://github.com/paulmurnane,,https://www.producthunt.com/products/docusmart-ai,,https://www.producthunt.com/@paulmurnane
Andrea Sartori,producthunt,PixyCAD,Fast & precise 3D CAD built natively for iPad and Mac,"PixyCAD is a native 3D CAD app for Mac and iPad, built for makers, designers and 3D-printing enthusiasts who want professional solid modelling without traditional CAD complexity. It combines an approachable modelling workflow with a professional geometry foundation powered by Parasolid. We are launching on Product Hunt to get feedback from people who care about CAD, 3D printing and better creative tools on Apple platforms.",3D Printer; Maker Tools; 3D Modeling,137,14,2026-07-17,,,,,,,,https://www.producthunt.com/products/pixycad-3d-solid-modelling,,https://www.producthunt.com/@pixycad
Yahia Bakour,producthunt,Yapper Leaderboard,See the biggest startup yappers on X/Twitter ,The Yapper Leaderboard ranks Twitter/X's startups and users by how much they yap. The startups with the most impressions climb to the top of the daily leaderboard. See weekly growers to keep your eye on which people and companies are trending upwards! Sign into X to add your company and team to the leaderboard!,Twitter; Social Media; Analytics,150,18,2026-07-17,,,,,,,,https://www.producthunt.com/products/yapper-leaderboard,,https://www.producthunt.com/@yahia_bakour3
Ben Lang,producthunt,Clark,An AI coworker with its own cloud computer,,Productivity; Developer Tools; Artificial Intelligence,437,52,2026-07-18,,,,,,,http://www.benlang.me,https://www.producthunt.com/products/clark-agent,http://linkedin.com/in/benmlang,https://www.producthunt.com/@benln
Kristofer Lachance,producthunt,Basedash Suggestions,"Your AI data analyst, now with ideas of its own.","Basedash now suggests the analysis before you ask. It studies your connected data, your past chats, and the dashboards you've built, then generates personalized suggestions — questions worth asking, dashboards worth building, automations worth scheduling. Click one and the work starts. Used ideas are replaced with fresh ones, so the well never runs dry. Every suggestion is generated per person, for growth, finance, and ops alike. No more blank page. Your analyst makes the first move.",Artificial Intelligence; Data & Analytics; Business Intelligence,153,24,2026-07-17,,,,,,,https://www.joinskillful.com/,https://www.producthunt.com/products/basedash,,https://www.producthunt.com/@kris_lachance
Manu Arora,producthunt,Acebuilder,Build landing pages with Aceternity UI,"Acebuilder is an AI website builder from the team behind Aceternity UI. Instead of generating generic layouts from scratch, it pulls from Aceternity's actual Pro template and component library — you import a full page or a single block, then reshape the copy, layout, and structure by chatting with the agent. Generate images without leaving the chat. Run design ""skills"" on any section to push the agent past generic filler toward sharper layout. Export your code as a zip. You own what you build.",Design Tools; Tech,140,9,2026-07-18,,,,Remote,manuarora700,https://github.com/manuarora700,https://www.manuarora.in,https://www.producthunt.com/products/acebuilder,,https://www.producthunt.com/@manuarora
Crystal J,producthunt,Kimi K3,The world's first open 3T-class model,"Kimi K3 is the world's first open 3T-class model — frontier performance across coding, knowledge work, and reasoning, with native multimodality and 1M context.",Open Source; Artificial Intelligence; Development,436,13,2026-07-17,10952,N,2063,,,,,https://www.producthunt.com/products/kimi-ai-assistant,,https://www.producthunt.com/@crystal_j
George Apostolov,producthunt,LiveDemo,"Open-source alternative to Storylane, Navattic, and Arcade","Create interactive product demos in minutes. Capture any workflow, add AI voiceovers and personalized text, then share it as a link, embed, GIF, or video while tracking engagement and collecting leads across your website, docs, and sales outreach.",Sales; SaaS; Developer Tools; GitHub,277,44,2026-07-18,1040,N,3,,,,https://livedemo.live,https://www.producthunt.com/products/livedemo,,https://www.producthunt.com/@gapostolov
Aleksandar Blazhev,producthunt,LiveDemo,"Open-source alternative to Storylane, Navattic, and Arcade",,Sales; SaaS; Developer Tools; GitHub,277,44,2026-07-18,,,,,,,,https://www.producthunt.com/products/livedemo,,https://www.producthunt.com/@byalexai
Justin Jincaid,producthunt,Paradigm,The data layer for AI agents,,Developer Tools; Artificial Intelligence; E-Commerce,541,63,2026-07-18,,,,,,,,https://www.producthunt.com/products/zoodata,,https://www.producthunt.com/@justin2025
Rohan Chaubey,producthunt,Unabyss for Claude,Shared memory across all apps and LLMs. In Claude,,Productivity; Artificial Intelligence,589,122,2026-07-17,,,,,,,https://chat.whatsapp.com/Js82is4nb4p3AsZi0tbjSQ,https://www.producthunt.com/products/unabyss,,https://www.producthunt.com/@rohanrecommends
ISTIAK AHMAD,producthunt,Pebbles Ai,AI sales platform for modern B2B teams,,Sales; Email Marketing; Artificial Intelligence,428,102,2026-07-17,,,,,istiakahmad,https://github.com/istiakahmad,,https://www.producthunt.com/products/pebbles-ai,,https://www.producthunt.com/@istiakahmad
Masaki Iino,producthunt,Pocket Screen,Keep any Mac window visible in a floating mini screen,"Pocket Screen turns the frontmost window on your Mac into a compact, always-on-top PiP-style view. Keep documents, chats, videos, or reference material visible while you work in another app—without constantly switching windows. Processing stays on your Mac.",Mac; Productivity; Menu Bar Apps,241,52,2026-07-17,,,,,,,,https://www.producthunt.com/products/toybird-labs,,https://www.producthunt.com/@masaki_iino
Nikhil Radosevich,producthunt,Yapper Leaderboard,See the biggest startup yappers on X/Twitter ,,Twitter; Social Media; Analytics,150,18,2026-07-17,,,,New York,nikhilrado,https://github.com/nikhilrado,,https://www.producthunt.com/products/yapper-leaderboard,,https://www.producthunt.com/@nikhilrado
Akul Gupta,dinner,MindFort,CTO & Co-founder @ MindFort,,,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/akulguptax,https://luma.com/user/usr-8IiPGNnVB83udoF
Angela Mascarenas (The AI Furnace),dinner,,AI Founder + Community Builder,,AI/ML,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/angela-mascarenas-7698132b,https://luma.com/user/usr-x2ibqxQgFH6yg1Z
Arslan Ihsan,dinner,,Build that matters | Helping Startups to IPO | Founder | Keynote Speaker | Advisor | Networker,,,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/arslanhaktic,https://luma.com/user/usr-r9CwsAD7wJeCr2J
Brandon Veiseh,dinner,MindFort,CEO & Co-founder @ MindFort,,,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/brandon-veiseh,https://luma.com/user/usr-r7vp8RCRwxHXQNY
Eve Halimi,dinner,,Co-Founder of Alinea ,,,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/eve-halimi,https://luma.com/user/usr-DyKwYGl4UDFYkEh
Fatima Ashraf,dinner,CouWed,"Designer, technologist, and founder of CouWed. My work blends immersive media, AI, and interactive design to create experiences built on pre",,AI/ML; Health; Design,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/fatima-ashraf-52948a214,https://luma.com/user/usr-BGiGBLhBIABxpOt
Gloria Liu,dinner,Odd One In,"investor, co-founder @ Odd One In",,,,,,,,,Vancouver (tz),,,,,,https://luma.com/user/usr-g7IGwzdIYk4qZ4C
Julie Zhu,dinner,Odd One In," Design, co-founder @ Odd One In",,Design,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/juzzhu,https://luma.com/user/usr-KJZs89BHF40ySdJ
Kelsey Aina,dinner,,"Head of Partnerships at Anrok, Former HubSpot, Former Founder.",,,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/kelseyaina,https://luma.com/user/usr-f4PlLyQJkHwI5EO
Mohan Kumar,dinner,,"CEO, Aira Security",,AI/ML; Security,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/vimokumar,https://luma.com/user/usr-jkk6HgYiSPzCcZS
Sal Khan,dinner,,Founder & Creative Director ,,,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/SalKhvn,https://luma.com/user/usr-D5jHjnSWExZbzKc
Sharon Rao,dinner,,"- Former MD / 1x Founder / Operator @medschoolbro 
- Med / Tech / Women’s Health",,Health,,,,,,,Toronto (tz),,,,,https://www.linkedin.com/in/sharonrao,https://luma.com/user/usr-ikJNfn2OxvPr7GO
Ayaan Naveed Malik,dinner,,"stanford university alum!
building a frontier AI Lab to solve robotics —> AMI Labs",,AI/ML; Robotics,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/ayaannaveedmalik,https://luma.com/user/usr-7ljBD259ZmkUwD7
